,M_B,M_C,KO,KO_i,FBA_B,FBA_C,Strain,FVA_B,FVA_C,tgt,Che,Che_i,K
649,0.712062178460644,0.0,"['ENO', 'AKGDH']","[696, 202]",0.8855712275787295,0.0,iAF,0.44278561378936476,7.042666577616849,50,EX_succ_e,932,2
650,0.0,0.0,"['ACONTb', 'MDH2']","[155, 1614]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
651,0.8599551630061295,0.0,"['ACKr', 'PGL']","[89, 1868]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.743707244400866,50,EX_succ_e,932,2
652,0.2864618704721259,0.0,"['PGM', 'RPI']","[1873, 2105]",0.8855712275787295,0.0,iAF,-200.0,-200.0,50,EX_succ_e,932,2
653,0.8855712275987476,0.0,"['PYK', 'ALCD2x']","[2116, 239]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442988607101,50,EX_succ_e,932,2
654,0.8773772758755563,0.0,"['PTAr', 'MDH3']","[2072, 1615]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.770442989092135,50,EX_succ_e,932,2
655,0.8626847018468115,0.0,"['GLCptspp', 'MDH2']","[1168, 1614]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.636605405851892,50,EX_succ_e,932,2
656,0.6882694558718485,0.0,"['PGM', 'RPE']","[1873, 2104]",0.8855712275787295,0.0,iAF,0.44278561378936476,6.969184921032014,50,EX_succ_e,932,2
657,0.7120675936579116,0.0,"['ENO', 'LDH_D']","[696, 1466]",0.8855712275787295,0.0,iAF,0.44278561378936476,7.042666580125342,50,EX_succ_e,932,2
658,0.8677202146256842,0.0,"['PYK', 'GND']","[2116, 1252]",0.8855712275787295,0.0,iAF,0.44278561378936476,8.743707242188975,50,EX_succ_e,932,2
